year_month,article_count,mean_sentiment,std_sentiment,sentiment_intensity,tourist_arrivals,usd_lkr_rate,inflation_rate
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,195.18,7.01478071238195
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,196.87,7.01478071238195
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,195.21,7.01478071238195
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,195.61,7.01478071238195
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,196.0,7.01478071238195
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,195.33,7.01478071238195
2021-03,28.0,0.0006608473403113,0.4551321027206483,0.0022252684932879,4581.0,195.18,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,189.05,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,196.0,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,194.0,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,194.0,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,193.66,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,193.0,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,192.0,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,191.61,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,190.29,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,195.86,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,197.0,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,201.1,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,198.73,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,198.87,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,199.57,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,199.75,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,200.71,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,199.75,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,199.75,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,201.1,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,201.1,7.01478071238195
2021-04,24.0,0.0524176408847173,0.6618748478784328,0.1687258770404395,4168.0,199.75,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.61,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.55,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.55,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.55,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.92,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.77,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.77,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.0,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.0,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.73,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.73,7.01478071238195
